route_id,service_id,trip_id,direction_id,shape_id
CR_HARBOUR,weekday,99462,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99464,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99466,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99468,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99244,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99246,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99248,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99250,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99470,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99472,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99474,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99476,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99478,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99480,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99482,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99484,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99486,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99252,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99254,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99256,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99258,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99260,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99262,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99488,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99490,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99492,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99494,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99496,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99498,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99500,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99502,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99264,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99266,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99268,1,SHP_CR_HARBOUR_NERUL_TO_THANE_bd06
CR_HARBOUR,weekday,99504,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99506,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99508,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99510,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99512,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99514,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99516,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99518,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
CR_HARBOUR,weekday,99520,1,SHP_CR_HARBOUR_VASHI_TO_THANE_f228
WR_MAIN,weekday,93005,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93007,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93009,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93011,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93015,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93203,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_9465
WR_MAIN,weekday,93031,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93041,1,SHP_WR_MAIN_CHURCHGATE_TO_DAHANU_ROAD_cc18
WR_MAIN,weekday,93035,1,SHP_WR_MAIN_DADAR_TO_DAHANU_ROAD_259f
WR_MAIN,weekday,93017,1,SHP_WR_MAIN_BORIVALI_TO_DAHANU_ROAD_6bb7
WR_MAIN,weekday,93001,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93201,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93013,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93021,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93023,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93025,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93205,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93029,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93033,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93207,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93039,1,SHP_WR_MAIN_VIRAR_TO_DAHANU_ROAD_35b6
WR_MAIN,weekday,93002,1,SHP_WR_MAIN_DAHANU_ROAD_TO_CHURCHGATE_bb43
WR_MAIN,weekday,93004,1,SHP_WR_MAIN_DAHANU_ROAD_TO_CHURCHGATE_bb43
WR_MAIN,weekday,93006,1,SHP_WR_MAIN_DAHANU_ROAD_TO_VIRAR_9ee3
WR_MAIN,weekday,93202,1,SHP_WR_MAIN_DAHANU_ROAD_TO_CHURCHGATE_5e51
WR_MAIN,weekday,93010,1,SHP_WR_MAIN_DAHANU_ROAD_TO_BORIVALI_0ee1
WR_MAIN,weekday,93012,1,SHP_WR_MAIN_DAHANU_ROAD_TO_VIRAR_9ee3
WR_MAIN,weekday,93014,1,SHP_WR_MAIN_DAHANU_ROAD_TO_VIRAR_9ee3
WR_MAIN,weekday,93016,1,SHP_WR_MAIN_DAHANU_ROAD_TO_VIRAR_9ee3
